caseID,cgIn,iyKgm2,clDeltaE,actuatorTau_s,isStable,fastModeWn,fastModeZeta,phaseMargin_deg,gainMargin_dB,gainCrossover_radps,innerNonPhugoidFrequency,bandwidthSeparationRatio,overshoot_pct,riseTime_s,settlingTime_s,peakPitchRate_degps,peakActuator_deg,peakActuatorRate_degps,peakUnsaturatedDemand_deg,peakSpeedPerturbationFraction,peakAlphaPerturbation_deg,finalAttitudeError_deg,maximumAttitudeDifferenceFromIdeal_deg
68,44.15,2800,0.427,0.035,1,5.24547960645164,0.66219223144103,53.126886419923,24.9052217006269,1.17188028364262,5.15780016069618,4.40130295960258,0,2.74,22.82,0.356890541859522,0.439179744695328,0.199701454910743,0.439250366575531,0.066338019367111,0.589783779150086,0.00465850970638113,0.00714781850006268
69,44.15,2800,0.427,0.05,1,5.32523130979494,0.653145427830695,52.3417159165996,22.363791443245,1.17106479060288,5.33161030204513,4.55278849200167,0,2.72,22.81,0.359202578275109,0.439181291127486,0.194083839807373,0.439282179178465,0.0663382591739708,0.589785873450375,0.00465575487182437,0.00927592826072637
70,44.15,2800,0.5,0.02,1,5.16771461260063,0.668739765440241,53.9322844697396,29.2504585035603,1.16663169144473,5.02286732711558,4.3054439236906,0,2.77,23.06,0.35369050240741,0.442910874726184,0.207053041811898,0.44295144352154,0.0662008048359187,0.594794935913737,0.00468631227048996,0.00532413557982921
71,44.15,2800,0.5,0.035,1,5.24349377107776,0.662840334311897,53.1508147520739,24.9504417069902,1.16597503075423,5.15197678861704,4.41859958637743,0,2.74,23.05,0.355959856054259,0.4429124515387,0.199750649701937,0.442983446673428,0.0662010467763698,0.594797071210585,0.00468353590462362,0.00713690439640869
72,44.15,2800,0.5,0.05,1,5.32347409708873,0.653867585805947,52.3675876644511,22.4093079847498,1.16516104225102,5.32574468141223,4.57082282044308,0,2.72,23.04,0.358255675068312,0.442914028421701,0.194143903930244,0.443015449675395,0.0662012887280868,0.594799206603829,0.00468075940438619,0.00926250032185083
73,47.3,1800,0.3,0.02,1,5.94635507071658,0.842006983260474,56.2537536553502,29.7947442962008,1.35899469186431,5.81207507147018,4.27674596984406,0,2.77,13.01,0.373184928901748,0.294778686658058,0.199433949306527,0.294805466279958,0.0669728028230584,0.577105345745736,0.0030940760905886,0.00555097734098098
74,47.3,1800,0.3,0.035,1,6.15949132936156,0.844518092585716,55.4121001156756,25.5508002801195,1.35814365021671,5.28999661636711,3.89501995280324,0,2.76,13.04,0.375724100762795,0.294779382914801,0.190132975601058,0.294826247137808,0.0669729659165471,0.577106726388505,0.003092236205814,0.00716520822844245
75,47.3,1800,0.3,0.05,1,6.48140300702503,0.84344185890295,54.5687359526365,23.0542761361097,1.35706661343653,4.76620351529571,3.51213674266597,0,2.74,13.08,0.378315201320073,0.294780079192,0.183438721558151,0.294847027917271,0.0669731290150464,0.57710810707245,0.00309039626128831,0.00909019346278611
76,47.3,1800,0.427,0.02,1,5.94205031730468,0.842568429636543,56.2860600682734,29.8348897496753,1.35140262661838,5.80230117640752,4.29353995775978,0,2.77,13.29,0.372226447070483,0.29770672137568,0.199487407117422,0.297733662275411,0.0668185811926133,0.582838678820854,0.00311304194713888,0.00553842755233868
77,47.3,1800,0.427,0.035,1,6.15482426426802,0.845173934912974,55.4460894372192,25.592794296583,1.35054400150532,5.24727101811199,3.88530178377258,0,2.76,13.34,0.374750979239432,0.297707433691158,0.190217896084476,0.297754580143483,0.0668187460154886,0.582840091137296,0.00311118541958453,0.00715807653862158
78,47.3,1800,0.427,0.05,1,6.47660402242198,0.844268142076046,54.6044281623432,23.0979961763402,1.34946208039907,4.74172618412561,3.5137898670879,0,2.74,13.39,0.377322798676202,0.297708146027863,0.183530607088767,0.297775497928037,0.0668189108434977,0.582841503496448,0.00310932883119253,0.00908393138918154
79,47.3,1800,0.5,0.02,1,5.93958298985609,0.842891264515013,56.3051448360645,29.8580446062917,1.34701693892788,5.79667770386315,4.3033443280059,0,2.78,13.47,0.371667792662675,0.299416075447476,0.199518138605794,0.299443109500365,0.0667284983520556,0.586185744059951,0.00312400110202028,0.00553110743991021
80,47.3,1800,0.5,0.035,1,6.15214985556545,0.84555090432335,55.4661589057604,25.6170178505365,1.34615414537646,5.2233610745477,3.88021022145792,0,2.76,13.52,0.374181834584507,0.299416797239528,0.19026906537703,0.299464106705754,0.06672866418396,0.586187175066966,0.00312213488067596,0.00715386515929659
81,47.3,1800,0.5,0.05,1,6.47385419914658,0.844742859286917,54.6254935823315,23.1232171868966,1.34506961094474,4.72772483575949,3.51485514005396,0,2.74,13.58,0.376749575766674,0.299417519053529,0.183583434260111,0.29948510382481,0.0667288300211331,0.586188606118125,0.00312026859781374,0.00908028995208648
82,47.3,1828.6803192735,0.3,0.02,1,5.89113405040206,0.837183701104065,56.1514669500871,29.7666899264711,1.35912097138331,5.76115117787479,4.23888034926802,0,2.77,13.01,0.373563295787509,0.29477868197568,0.199696034457211,0.294805461601228,0.066972802375374,0.577105341673275,0.00309407651192901,0.00555763192003009
