delayPlantCaseID,delayAileronTau_s,sensorDelay_s,delayDiskMargin,delayPhaseMargin_deg,delayGainMargin_dB,delayCriticalFrequency_radps
1,0.035,0,1.52845819994077,74.7762302577559,17.4812955975432,0.492039535681451
1,0.035,0.01,1.52423190202197,74.6232069277578,17.393383211465,0.496592321450336
1,0.035,0.02,1.51991481555279,74.4665741437709,17.3042769926648,0.505824662003114
1,0.035,0.04,1.51094912032129,74.1402379442486,17.1214098281949,0.515228644581756
1,0.035,0.06,1.49906400438253,73.7054652778013,16.8833929364191,12.2461619926505
1,0.035,0.08,1.43937455501925,71.4841702728735,15.7561333773904,10.8642562361707
1,0.05,0,1.52202826110174,74.5432950154006,17.3478123537234,0.501187233627272
1,0.05,0.01,1.51765301301182,74.3843811428862,17.2578685540668,0.505824662003114
1,0.05,0.02,1.51317825461755,74.2215062562713,17.1666043373988,0.515228644581756
1,0.05,0.04,1.50387829950966,73.881877493748,16.9792157953758,0.524807460249773
1,0.05,0.06,1.48999035597537,73.3718660427038,16.7049167678685,10.7646521362983
1,0.05,0.08,1.43124642872555,71.1767784881562,15.6105554622736,9.6382902362397
1,0.075,0,1.51075762845762,74.133252594534,17.1175357099233,0.515228644581756
1,0.075,0.01,1.50610451424279,73.9633157889533,17.0237960247214,0.524807460249773
1,0.075,0.02,1.50132992553066,73.7885471648021,16.9283945795101,0.529663443891658
1,0.075,0.04,1.49138515453775,73.4232412567357,16.7321745745386,0.549540873857625
1,0.075,0.06,1.44008645574589,71.5110367901019,15.7689676834066,2.14783047413053
1,0.075,0.08,1.38004235779996,69.2129952324963,14.731202497395,2.2080047330189
2,0.035,0,1.53644748388659,75.0646503893521,17.6493654097342,0.483058802039773
2,0.035,0.01,1.53239285954702,74.9184139349109,17.5637572780014,0.487528490103386
2,0.035,0.02,1.52825372011367,74.7688337502498,17.4770264808104,0.492039535681451
2,0.035,0.04,1.51970080673628,74.4588009837357,17.299877810682,0.505824662003114
2,0.035,0.06,1.4861218422115,73.2291956599601,16.6296480673954,12.0226443461741
2,0.035,0.08,1.42425074810139,70.9112653148997,15.4866435395816,10.6659612123026
2,0.05,0,1.53029188816266,74.8425263907328,17.5196510858598,0.487528490103386
2,0.05,0.01,1.52610033328801,74.6908964628346,17.4321652497922,0.496592321450336
2,0.05,0.02,1.52181866960234,74.5356900558922,17.3434875079281,0.501187233627272
2,0.05,0.04,1.51296206979834,74.2136285480408,17.162213510792,0.515228644581756
2,0.05,0.06,1.4750725881018,72.8202428999956,16.4172925657575,10.5681750921366
2,0.05,0.08,1.41416721735377,70.5270090968325,15.3102223444505,9.46237161365793
2,0.075,0,1.51951691525538,74.4521210958101,17.2960990749296,0.505824662003114
2,0.075,0.01,1.51508096561603,74.2908051228019,17.2053220246589,0.510504999975406
2,0.075,0.02,1.51054682922262,74.1255621955464,17.1132724882957,0.515228644581756
2,0.075,0.04,1.50111765045039,73.7807677580647,16.9241713205249,0.529663443891658
2,0.075,0.06,1.46086498293302,72.2912124203212,16.1497423266266,2.31206479017559
2,0.075,0.08,1.3969524747996,69.866768345224,15.0147586272662,2.37684028662488
3,0.035,0,1.54410744281133,75.3401382542348,17.8128875477766,0.474241985260245
3,0.035,0.01,1.54021103394146,75.2001326877049,17.7294121280556,0.478630092322638
3,0.035,0.02,1.53623600108713,75.0570300039528,17.6448841808204,0.483058802039773
3,0.035,0.04,1.52803929092953,74.7610765677133,17.4725513636321,0.492039535681451
3,0.035,0.06,1.4722066038351,72.7138144557459,16.3628321356416,11.9124200802738
3,0.035,0.08,1.40865226016974,70.3160746971872,15.2147951380547,10.6659612123026
3,0.05,0,1.53818656985304,75.1272855658404,17.6862834211559,0.478630092322638
3,0.05,0.01,1.5341758694413,74.9827562886097,17.6013235048791,0.483058802039773
3,0.05,0.02,1.53007265283601,74.8346031280544,17.5150584891549,0.492039535681451
3,0.05,0.04,1.52159807911559,74.5276851720194,17.338937471045,0.501187233627272
3,0.05,0.06,1.4605571902174,72.2797118317327,16.1440124428966,10.5681750921366
3,0.05,0.08,1.39797663710317,69.9061979388493,15.032140863196,9.46237161365793
3,0.075,0,1.52786477927108,74.7547628478636,17.4689106212717,0.492039535681451
3,0.075,0.01,1.5236315623958,74.6014448744626,17.3809502485419,0.501187233627272
3,0.075,0.02,1.51929111568239,74.4439180802387,17.2914608889522,0.505824662003114
3,0.075,0.04,1.51031969906537,74.1172751375637,17.1086807568054,0.519995996533516
3,0.075,0.06,1.44744906945298,71.7883639063997,15.902510884982,8.6297854776697
3,0.075,0.08,1.38535017175147,69.4187619057269,14.8195166605033,7.79830110523259
4,0.035,0,1.51531460393449,74.2993101184241,17.2100852816779,0.501187233627272
4,0.035,0.01,1.51087482717967,74.1375279129224,17.1199066306729,0.510504999975406
4,0.035,0.02,1.50632658051273,73.9714345312319,17.0282523910053,0.515228644581756
4,0.035,0.04,1.49689082329241,73.6256988603449,16.8403966890429,0.529663443891658
4,0.035,0.06,1.44956624956444,71.8679323010742,15.9411886958743,2.03235701093622
4,0.035,0.08,1.39172276007583,69.6651319555817,14.9263755817641,2.05116217882557
4,0.05,0,1.50856134258739,74.0530892077322,17.0731951631788,0.510504999975406
4,0.05,0.01,1.5039557376201,73.8847117591097,16.9807636169845,0.519995996533516
4,0.05,0.02,1.49923811717493,73.7118524738147,16.8868446562121,0.524807460249773
4,0.05,0.04,1.464907788957,72.4421142853946,16.2252610397417,2.01372424986239
4,0.05,0.06,1.40685523211315,70.2472240965662,15.1838595115941,2.05116217882557
4,0.05,0.08,1.35000507946807,68.0388999155841,14.2427100546546,2.07014134879104
4,0.075,0,1.4966881183621,73.6182543525562,16.8363942989954,0.529663443891658
4,0.075,0.01,1.48163410045966,73.0633568384326,16.5429340681588,1.99526231496888
4,0.075,0.02,1.45240576650495,71.9745221387246,15.9932593447441,2.01372424986239
4,0.075,0.04,1.39485643888166,69.7860131835878,14.9792599397587,2.05116217882557
4,0.075,0.06,1.33850823872284,67.5851593867099,14.0605602558797,2.07014134879104
4,0.075,0.08,1.28342768148467,65.3777021510132,13.2213485615818,2.08929613085404
5,0.035,0,1.52570959223707,74.6767457373379,17.4240439162194,0.487528490103386
5,0.035,0.01,1.52151011682809,74.5244929208224,17.337123611684,0.496592321450336
5,0.035,0.02,1.51721410754174,74.3684211183397,17.2488847080438,0.501187233627272
5,0.035,0.04,1.50834076271536,74.0450334686764,17.0687513274869,0.515228644581756
5,0.035,0.06,1.46792788423429,72.5546528185363,16.2819911642408,2.16770410481969
5,0.035,0.08,1.40642145738782,70.2305959024245,15.176403732184,2.18776162394955
5,0.05,0,1.51932042222176,74.4449828004799,17.2920627731277,0.496592321450336
5,0.05,0.01,1.5149849026546,74.2873079229336,17.2033641331391,0.505824662003114
5,0.05,0.02,1.51053724948987,74.1252126882472,17.1130787845062,0.510504999975406
5,0.05,0.04,1.48439695770548,73.1654968678843,16.5962430930183,2.14783047413053
5,0.05,0.06,1.42260149881262,70.8485419167776,15.4576136799024,2.18776162394955
5,0.05,0.08,1.36228883835403,68.5210315915258,14.4402200105683,2.2080047330189
5,0.075,0,1.50814898222065,74.0380288097887,17.0648890814023,0.515228644581756
5,0.075,0.01,1.5025344591427,73.8326756148279,16.9523882783028,2.12813904598271
5,0.075,0.02,1.47138169264149,72.6831543418605,16.3472033801461,2.14783047413053
5,0.075,0.04,1.41019610261705,70.3751783499511,15.2414343142303,2.18776162394955
5,0.075,0.06,1.35047919318065,68.0575597109945,14.2502771479808,2.2080047330189
5,0.075,0.08,1.29226486877723,65.7356269278275,13.3524802735736,2.2284351492703
6,0.035,0,1.53554751607241,75.0322163463454,17.6303077693748,0.478630092322638
6,0.035,0.01,1.53155553782171,74.8881789153359,17.546158624419,0.483058802039773
6,0.035,0.02,1.52748283657163,74.7409425512201,17.4609464226494,0.487528490103386
6,0.035,0.04,1.5190844707861,74.4364101481549,17.287217810514,0.496592321450336
6,0.035,0.06,1.48195988255677,73.0754076943231,16.5492073983909,2.29086765276777
6,0.035,0.08,1.41694423291721,70.6330161789113,15.3585559094605,2.333458062281
6,0.05,0,1.52948538396683,74.8133748379889,17.5027653780456,0.483058802039773
6,0.05,0.01,1.52536968650594,74.664433849163,17.4169838745339,0.492039535681451
6,0.05,0.02,1.52116200520367,74.5118582276762,17.3299480705821,0.496592321450336
6,0.05,0.04,1.49949092303321,73.721125515356,16.8918582671726,2.29086765276777
6,0.05,0.06,1.43416456520171,71.2872735923512,15.6626192310159,2.31206479017559
6,0.05,0.08,1.37056617101871,68.8443629839611,14.5750555446616,2.35504928389601
6,0.075,0,1.51890519986227,74.4298961763823,17.283538081897,0.496592321450336
6,0.075,0.01,1.51455447258591,74.2716360063434,17.1945954953658,0.505824662003114
6,0.075,0.02,1.48603675579606,73.2260547105238,16.6279980020116,2.29086765276777
6,0.075,0.04,1.42139956751605,70.8027998954503,15.4365008443079,2.31206479017559
6,0.075,0.06,1.35852513019266,68.3736001111901,14.3793790996369,2.333458062281
6,0.075,0.08,1.29736529111108,65.9415498175631,13.4287492556675,2.37684028662488
7,0.035,0,1.50193195848244,73.8106060128938,16.9403805489326,0.515228644581756
7,0.035,0.01,1.49238115730799,73.4599064444145,16.7516780348693,1.90546071796325
7,0.035,0.02,1.46401568317122,72.4088405192455,16.2085553478944,1.92309172891016
7,0.035,0.04,1.40818592967268,70.2982134956741,15.2067598583543,1.94088587759278
7,0.035,0.06,1.35357008065679,68.1791078965118,14.2997187452293,1.95884467350599
7,0.035,0.08,1.30015527775534,66.0539892025671,13.4706536567081,1.97696964011186
7,0.05,0,1.47875583429751,72.9568066074877,16.4876548153248,1.90546071796325
7,0.05,0.01,1.450548831725,71.9048327659325,15.9591815344401,1.92309172891016
7,0.05,0.02,1.4226913513662,70.8519604015264,15.4591934752372,1.94088587759278
7,0.05,0.04,1.36782563868694,68.7374496030861,14.5302544073239,1.95884467350599
7,0.05,0.06,1.31417476447859,66.6168218150383,13.6832388956467,1.97696964011186
7,0.05,0.08,1.26169863949564,64.4915008026271,12.9042032750307,1.97696964011186
7,0.075,0,1.41076557760919,70.3969689850571,15.2512752284423,1.94088587759278
7,0.075,0.01,1.38337289094049,69.3421688703284,14.7865450266406,1.94088587759278
7,0.075,0.02,1.35634182732973,68.2879577653145,14.3442179452852,1.95884467350599
7,0.075,0.04,1.30311449674978,66.1730922714765,13.515243953698,1.95884467350599
7,0.075,0.06,1.25106566018803,64.0546626570003,12.7516399338733,1.97696964011186
7,0.075,0.08,1.20020306911582,61.9360678303985,12.0439560825857,1.99526231496888
8,0.035,0,1.5149141713723,74.2847328268004,17.2019227487547,0.496592321450336
8,0.035,0.01,1.50761287140653,74.0184442819254,17.0540992697606,2.03235701093622
8,0.035,0.02,1.47746156008026,72.9088461967539,16.4628818735185,2.05116217882557
8,0.035,0.04,1.41820880167078,70.6812426027568,15.3806288283531,2.07014134879104
8,0.035,0.06,1.36041456435687,68.4476450325578,14.4098858537918,2.08929613085404
8,0.035,0.08,1.30400842440721,66.209039513685,13.528743262596,2.08929613085404
8,0.05,0,1.49318157058503,73.489358843609,16.7673752300435,2.03235701093622
8,0.05,0.01,1.46322567633348,72.3793630260741,16.1937811855382,2.05116217882557
8,0.05,0.02,1.43362751892416,71.266949820112,15.6530207457488,2.05116217882557
8,0.05,0.04,1.37552632491945,69.0375208769381,14.6565472809086,2.07014134879104
8,0.05,0.06,1.31885010229086,66.8037170283401,13.7548988392588,2.08929613085404
8,0.05,0.08,1.26357925767595,64.5685451595074,12.9313630340719,2.10862814993329
8,0.075,0,1.4212339436142,70.7964946942532,15.4335943925382,2.05116217882557
8,0.075,0.01,1.39227895290558,69.6865999867704,14.9357456076177,2.07014134879104
8,0.075,0.02,1.3636444896592,68.57407178741,14.4622055796565,2.07014134879104
