caseID,sideForceScale,rollMomentScale,yawMomentScale,aileronEffectivenessScale,inertiaScale,IxzNormalized,riseTime_s,overshoot_pct,settlingTime_s,finalBankError_deg,peakRollRate_degps,peakAutomaticAileron_deg,peakAutomaticRudder_deg,peakSideslip_deg,peakYawRate_degps,peakAileronRate_degps
27,0.8,0.8,0.8,1.2,1.2,0.1,3.34,2.64466839646131,10,1.26206708983452e-06,3.66944270091781,0.507830703132076,0.132487880047805,0.329470041786114,1.7720184801387,1.22690633969943
28,0.8,0.8,1,0.8,0.8,-0.1,3.28,5.10883448742805,11.72,1.06321499766435e-07,3.21374349382801,0.70589556595462,0.111183280448702,0.260850230083074,1.81095428983716,1.24098085600231
29,0.8,0.8,1,0.8,0.8,0,3.3,5.09816161838079,11.74,1.11799800059479e-07,3.20045979933637,0.697739003874459,0.113015920767353,0.261870222714331,1.81122191696733,1.23938453071375
30,0.8,0.8,1,0.8,0.8,0.1,3.3,5.08739534539281,11.74,1.17845315703583e-07,3.18740511067227,0.689940389690384,0.114845635182929,0.262981761924423,1.81148105726124,1.23637820457627
31,0.8,0.8,1,0.8,1,-0.1,3.26,5.17844955522714,11.72,1.07743486007584e-07,3.26110554520553,0.720241892843145,0.113896797649784,0.262136934704897,1.81286615156374,1.2609477373672
32,0.8,0.8,1,0.8,1,0,3.28,5.16450052266334,11.74,1.14281575745484e-07,3.25043802710517,0.709059926487777,0.116952991448374,0.263647285387472,1.81320343138255,1.25904005800048
33,0.8,0.8,1,0.8,1,0.1,3.3,5.15051831689021,11.76,1.21698589505723e-07,3.23975615944876,0.698303784574809,0.120119684117859,0.265329891774441,1.81350666028253,1.25544461035342
34,0.8,0.8,1,0.8,1.2,-0.1,3.24,5.24991946319672,11.7,1.08793911899458e-07,3.30512442041241,0.736086956171164,0.116450564720745,0.263732330646862,1.81509766600195,1.27647049141998
35,0.8,0.8,1,0.8,1.2,0,3.24,5.23184935878274,11.72,1.16221432622087e-07,3.29994035826912,0.722261986159303,0.121175872269312,0.266012627235168,1.81558176191932,1.27487720004233
36,0.8,0.8,1,0.8,1.2,0.1,3.28,5.21426839563682,11.76,1.24900873736771e-07,3.29452704970617,0.708832765732832,0.126239575277292,0.268648545118744,1.8159226656803,1.27171510038686
37,0.8,0.8,1,1,0.8,-0.1,3.3,3.60250821453757,10.86,3.8339165169736e-07,3.37433973282732,0.591484183917513,0.112474889544229,0.255211695846022,1.78514512934317,1.21623122006038
38,0.8,0.8,1,1,0.8,0,3.3,3.60265868546833,10.88,3.70203052335789e-07,3.36121413321096,0.583552002247557,0.114720904197922,0.256250430869097,1.78548867348616,1.21425046732025
39,0.8,0.8,1,1,0.8,0.1,3.32,3.60258582100877,10.9,3.57059360816044e-07,3.34829445366209,0.576048882490512,0.116977166986443,0.257394184514937,1.78582723587725,1.21052530984641
40,0.8,0.8,1,1,1,-0.1,3.26,3.64128635848969,10.86,3.92401830741982e-07,3.42654380451712,0.605566193274987,0.115523167087777,0.256429730422082,1.78635885363448,1.23566956600512
