headingDelay_s,auditedTotalDelay_s,delayPhaseMargin_deg,delayGainMargin_dB,delayCriticalFrequency_radps
0,0.04,63.4408355692723,12.5412541212849,0.288403150312661
0.05,0.09,63.0518345127177,12.4102493131559,0.285759054337495
0.1,0.14,62.6641247512559,12.2814087869268,0.285759054337495
0.2,0.24,61.8955054701633,12.0308941546997,0.280543363795171
0.4,0.44,60.3809209065875,11.5551151462282,0.275422870333817
