caseID,cgIn,iyKgm2,clDeltaE,isStable,fastModeWn,fastModeZeta,phaseMargin_deg,gainMargin_dB,gainCrossover_radps,qdShortPeriodWn,bandwidthSeparationRatio,overshoot_pct,riseTime_s,settlingTime_s,peakPitchRate_degps,peakElevatorCommand_deg,peakTotalElevator_deg,peakSpeedPerturbation_mps,peakSpeedPerturbationFraction,peakAlphaPerturbation_deg,finalSpeedPerturbation_mps,finalAlphaPerturbation_deg,finalAttitudeError_deg,finalInitialDisturbance_deg,finalBiasResponse_deg
1,41,1800,0.3,1,6.97627143060908,0.690316912209174,56.7928470457294,Inf,1.05913272074962,6.58722500961309,6.21945189735133,0.519662793196918,2.94,29.74,0.327640451795684,0.57289443370804,0.572868035776756,3.74394430623098,0.0661604138151951,0.585452096689832,-3.74394430623098,0.585452096689832,0.00621413316248995,2.45296747843246e-05,5.11869123784312e-05
2,41,1800,0.427,1,6.97013817309368,0.691153301393115,56.7820740688764,Inf,1.04667572380117,6.57420803727309,6.28103612969812,0.702978941534393,2.96,30.22,0.325687422798491,0.584072532532129,0.584045666828182,3.72601873129243,0.0658436453595757,0.596876198136894,-3.72601873129243,0.596876198136894,0.00629395470224906,2.58120358499103e-05,5.20830182562095e-05
3,41,1800,0.5,1,6.966624244931,0.691634699191464,56.7771718231372,Inf,1.03946332189196,6.56671431345918,6.31740839254136,0.808832635522945,2.96,30.48,0.3245409938344,0.590696360034942,0.590669218498806,3.71538742406296,0.0656557761958898,0.603645819473471,-3.71538742406296,0.603645819473471,0.00634046599356424,2.6587132298519e-05,5.26111724184708e-05
4,41,1828.6803192735,0.3,1,6.91922788237878,0.686895395896641,56.7390220230963,Inf,1.05925767748543,6.53538309510095,6.16977647083499,0.522164694391117,2.94,29.74,0.327798723134186,0.572894424646187,0.572868026711689,3.7439442819405,0.0661604133859505,0.585452092540244,-3.7439442819405,0.585452092540244,0.00621413395112379,2.45300125761818e-05,5.11869188751393e-05
5,41,1828.6803192735,0.427,1,6.91317187289605,0.687737507097853,56.7286544070204,Inf,1.04679586923703,6.52246877452954,6.23088891178328,0.705794172299472,2.96,30.22,0.325844126482754,0.584072523586593,0.58404565787954,3.72601870992078,0.0658436449819105,0.596876194222785,-3.72601870992078,0.596876194222785,0.00629395548546681,2.58123482983536e-05,5.2083024510935e-05
6,41,1828.6803192735,0.5,1,6.90970239691823,0.688222189170251,56.7239878605024,Inf,1.03958074163317,6.51503414748626,6.26698233871785,0.81175451231873,2.96,30.48,0.324696368779821,0.590696351163849,0.59066920962469,3.71538740441559,0.0656557758486949,0.603645815704842,-3.71538740441559,0.603645815704842,0.00634046677281425,2.65874289061439e-05,5.26111784473551e-05
7,41,2300,0.3,1,6.13841155353688,0.642154147786255,55.8462931798227,Inf,1.06120999624413,5.82770416708205,5.49156546556069,0.567178666338751,2.9,29.74,0.330358719042789,0.572894275729649,0.572867877741942,3.74394388275849,0.0661604063318798,0.585452024348897,-3.74394388275849,0.585452024348897,0.00621414691387097,2.4535559316468e-05,5.11870267895374e-05
8,41,2300,0.427,1,6.13344423383887,0.643085370638588,55.8427834564643,Inf,1.048671940309,5.81619159667452,5.54624508686744,0.754449053700376,2.92,30.22,0.328382204566779,0.584072376582553,0.584045510824007,3.72601835871013,0.0658436387755571,0.5968761299019,-3.72601835871013,0.5968761299019,0.00629396836209391,2.58174805628574e-05,5.20831289457565e-05
9,41,2300,0.5,1,6.13060130417417,0.643621156990649,55.8421025781218,Inf,1.04141363527914,5.80956396172137,5.57853648628692,0.862973133770845,2.92,30.48,0.327211951342652,0.590696205382716,0.59066906379346,3.71538708154001,0.0656557701430594,0.603645753774224,-3.71538708154001,0.603645753774224,0.00634047958609226,2.65923031292867e-05,5.26112793853973e-05
10,41,2800,0.3,1,5.53298208167136,0.610853886777457,54.8829114547949,Inf,1.06306538838935,5.28212848149888,4.96877100805797,0.619539904467146,2.86,29.74,0.33300344020361,0.572894117756435,0.57286771971142,3.74394345928424,0.0661603988485336,0.585451952011481,-3.74394345928424,0.585451952011481,0.00621416066975406,2.4541432436273e-05,5.11871435427718e-05
