caseID,cgIn,cgPercentMAC,staticMarginPct,iyKgm2,clDeltaE,cmAlpha,isStable,spReal,spImag,spWn,spZeta,spPeriod_s,phReal,phImag,phWn,phZeta,phPeriod_s,alphaDot0_degps,qDot0_degps2
1,41,25.6802721088435,22.4106369820656,1800,0.3,-1.23258503401361,1,-3.58479604297653,4.83049734564384,6.01535263106099,0.595941129779492,1.30073258664468,-0.0128304673891794,0.217339177811556,0.217717567286675,0.0589317047268177,28.9095844129282,0.127976095215675,29.2662111753607
2,41,25.6802721088435,22.4106369820656,1800,0.427,-1.23258503401361,1,-3.58479604297653,4.83049734564384,6.01535263106099,0.595941129779492,1.30073258664468,-0.0128304673891794,0.217339177811556,0.217717567286675,0.0589317047268177,28.9095844129282,0.182152642190311,29.1933847458121
3,41,25.6802721088435,22.4106369820656,1800,0.5,-1.23258503401361,1,-3.58479604297653,4.83049734564384,6.01535263106099,0.595941129779492,1.30073258664468,-0.0128304673891794,0.217339177811556,0.217717567286675,0.0589317047268177,28.9095844129282,0.213293492026126,29.151523884733
4,41,25.6802721088435,22.4106369820656,1828.6803192735,0.3,-1.23258503401361,1,-3.54703591429121,4.79954590921006,5.96800676205102,0.594341805516354,1.30912078476476,-0.0128058646620152,0.217340198002506,0.217717137215954,0.0588188179661443,28.909448711863,0.127976095215675,28.8072111677659
5,41,25.6802721088435,22.4106369820656,1828.6803192735,0.427,-1.23258503401361,1,-3.54703591429121,4.79954590921006,5.96800676205102,0.594341805516354,1.30912078476476,-0.0128058646620152,0.217340198002506,0.217717137215954,0.0588188179661443,28.909448711863,0.182152642190311,28.7355269199474
6,41,25.6802721088435,22.4106369820656,1828.6803192735,0.5,-1.23258503401361,1,-3.54703591429121,4.79954590921006,5.96800676205102,0.594341805516354,1.30912078476476,-0.0128058646620152,0.217340198002506,0.217717137215954,0.0588188179661443,28.909448711863,0.213293492026126,28.6943225885243
7,41,25.6802721088435,22.4106369820656,2300,0.3,-1.23258503401361,1,-3.06148928664655,4.3529215244191,5.32171423979179,0.575282540305346,1.44344097910612,-0.0124013563209956,0.217354984448683,0.217708481468425,0.0569631290308465,28.9074820304525,0.127976095215675,22.9039913546301
8,41,25.6802721088435,22.4106369820656,2300,0.427,-1.23258503401361,1,-3.06148928664655,4.3529215244191,5.32171423979179,0.575282540305346,1.44344097910612,-0.0124013563209956,0.217354984448683,0.217708481468425,0.0569631290308465,28.9074820304525,0.182152642190311,22.8469967575921
9,41,25.6802721088435,22.4106369820656,2300,0.5,-1.23258503401361,1,-3.06148928664655,4.3529215244191,5.32171423979179,0.575282540305346,1.44344097910612,-0.0124013563209956,0.217354984448683,0.217708481468425,0.0569631290308465,28.9074820304525,0.213293492026126,22.8142360837041
10,41,25.6802721088435,22.4106369820656,2800,0.3,-1.23258503401361,1,-2.72523142335833,3.97984441968059,4.8234891847834,0.56499171428757,1.57875148990971,-0.011971876281844,0.217366584354454,0.217696021588889,0.0549935464803877,28.9059393643218,0.127976095215675,18.8139928984461
11,41,25.6802721088435,22.4106369820656,2800,0.427,-1.23258503401361,1,-2.72523142335833,3.97984441968059,4.8234891847834,0.56499171428757,1.57875148990971,-0.011971876281844,0.217366584354454,0.217696021588889,0.0549935464803877,28.9059393643218,0.182152642190311,18.7671759080221
12,41,25.6802721088435,22.4106369820656,2800,0.5,-1.23258503401361,1,-2.72523142335833,3.97984441968059,4.8234891847834,0.56499171428757,1.57875148990971,-0.011971876281844,0.217366584354454,0.217696021588889,0.0549935464803877,28.9059393643218,0.213293492026126,18.7402653544712
13,44.15,31.0374149659864,17.0534941249227,1800,0.3,-0.937942176870748,1,-3.58497742349592,4.08195186405705,5.43271517267878,0.659886872318437,1.53926001982168,-0.012649086869789,0.209908548010714,0.21028931957331,0.0601508763994993,29.9329654114842,0.127976095215675,29.2662111753607
14,44.15,31.0374149659864,17.0534941249227,1800,0.427,-0.937942176870748,1,-3.58497742349592,4.08195186405705,5.43271517267878,0.659886872318437,1.53926001982168,-0.012649086869789,0.209908548010714,0.21028931957331,0.0601508763994993,29.9329654114842,0.182152642190311,29.1933847458121
15,44.15,31.0374149659864,17.0534941249227,1800,0.5,-0.937942176870748,1,-3.58497742349592,4.08195186405705,5.43271517267878,0.659886872318437,1.53926001982168,-0.012649086869789,0.209908548010714,0.21028931957331,0.0601508763994993,29.9329654114842,0.213293492026126,29.151523884733
16,44.15,31.0374149659864,17.0534941249227,1828.6803192735,0.3,-0.937942176870748,1,-3.54722086827018,4.05819915897492,5.38996811699255,0.658115371237007,1.54826933352544,-0.0126209106830489,0.209909321003914,0.210288398231557,0.0600171516316916,29.932855183036,0.127976095215675,28.8072111677659
17,44.15,31.0374149659864,17.0534941249227,1828.6803192735,0.427,-0.937942176870748,1,-3.54722086827018,4.05819915897492,5.38996811699255,0.658115371237007,1.54826933352544,-0.0126209106830489,0.209909321003914,0.210288398231557,0.0600171516316916,29.932855183036,0.182152642190311,28.7355269199474
