caseID,cgIn,iyKgm2,clDeltaE,openSPWn,openSPZeta,closedSPReal,closedSPImag,closedSPWn,closedSPZeta,closedPHPeriod_s,closedPHZeta,isStable,isOscillatory
1,41,1800,0.3,6.01535263106099,0.595941129779492,-5.19400053662021,4.0514061451379,6.58722500961309,0.788495994753531,31.6735672739577,0.0667328885208526,1,1
2,41,1800,0.427,6.01535263106099,0.595941129779492,-5.19001852601721,4.03533381728752,6.57420803727309,0.789451519725557,31.6104495670674,0.0664833381450594,1,1
3,41,1800,0.5,6.01535263106099,0.595941129779492,-5.18772979330228,4.02606463761743,6.56671431345918,0.790003881038265,31.5741144643047,0.0663392906938281,1,1
4,41,1828.6803192735,0.3,5.96800676205102,0.594341805516354,-5.13098792481026,4.04773950683373,6.53538309510095,0.785108975272857,31.6734720968966,0.0666469621458297,1,1
5,41,1828.6803192735,0.427,5.96800676205102,0.594341805516354,-5.12706887051477,4.03184371122088,6.52246877452954,0.786062616433848,31.6103551904209,0.066396899088593,1,1
6,41,1828.6803192735,0.5,5.96800676205102,0.594341805516354,-5.12481632602059,4.02267666702966,6.51503414748626,0.786613885669031,31.5740205563426,0.06625255464055,1,1
7,41,2300,0.3,5.32171423979179,0.575282540305346,-4.32064112651065,3.91077947664276,5.82770416708205,0.741396783816845,31.6720753620038,0.0652346685786577,1,1
8,41,2300,0.427,5.32171423979179,0.575282540305346,-4.3175322434623,3.89705016851088,5.81619159667452,0.742329782590192,31.6089732829698,0.0649761803998383,1,1
9,41,2300,0.5,5.32171423979179,0.575282540305346,-4.31574540005762,3.88913551669432,5.80956396172137,0.742869073908753,31.5726473237408,0.0648269552967856,1,1
10,41,2800,0.3,4.8234891847834,0.56499171428757,-3.75930257433782,3.71059637385134,5.28212848149888,0.711702221463394,31.6709388963612,0.0637360650216557,1,1
11,41,2800,0.427,4.8234891847834,0.56499171428757,-3.75675583676138,3.6983211800175,5.27169744651633,0.712627360518184,31.607855999135,0.0634686405791562,1,1
12,41,2800,0.5,4.8234891847834,0.56499171428757,-3.75529212917091,3.69124614491933,5.26569245947718,0.713162069009964,31.5715412487499,0.0633142387776308,1,1
13,44.15,1800,0.3,5.43271517267878,0.659886872318437,-5.19379366283255,3.13638178724295,6.0673209349291,0.856027515032588,33.4547305246209,0.0715606464908455,1,1
14,44.15,1800,0.427,5.43271517267878,0.659886872318437,-5.18980887522239,3.12217007299462,6.05657181300117,0.856888853209307,33.3948939526385,0.07132430727514,1,1
15,44.15,1800,0.5,5.43271517267878,0.659886872318437,-5.18751851893969,3.1139695444902,6.0503846744116,0.857386562688955,33.3604533176084,0.0711879405003329,1,1
16,44.15,1828.6803192735,0.3,5.38996811699255,0.658115371237007,-5.13078205049022,3.14808067339095,6.01957941851507,0.852348925692203,33.4546403236904,0.0714647169751129,1,1
17,44.15,1828.6803192735,0.427,5.38996811699255,0.658115371237007,-5.12686021204079,3.13406530591429,6.00891512467455,0.853208957967844,33.3948048307767,0.0712278654177292,1,1
18,44.15,1828.6803192735,0.5,5.38996811699255,0.658115371237007,-5.12460603975841,3.12597863324609,6.00277681396197,0.853705909544894,33.3603648254689,0.0710912020877613,1,1
19,44.15,2300,0.3,4.80647727974247,0.637001439946329,-4.32045166796951,3.18557855583011,5.36788723341178,0.804870050376128,33.4533786823865,0.0698881051013035,1,1
20,44.15,2300,0.427,4.80647727974247,0.637001439946329,-4.3173398829078,3.17377182609983,5.35838140380949,0.805717166724718,33.393562895218,0.0696428358404292,1,1
21,44.15,2300,0.5,4.80647727974247,0.637001439946329,-4.31555134211721,3.16696403711813,5.35290991880578,0.806206606794534,33.3591343836128,0.0695013001832598,1,1
22,44.15,2800,0.3,4.35671218684778,0.625594985768349,-3.75913050525703,3.08901286472283,4.86549716205622,0.772609741625741,33.4524954323238,0.0682153568973976,1,1
23,44.15,2800,0.427,4.35671218684778,0.625594985768349,-3.7565807397106,3.07854451920308,4.85688534049137,0.773454688829559,33.3927046164722,0.0679611633690567,1,1
24,44.15,2800,0.5,4.35671218684778,0.625594985768349,-3.75511526036129,3.07251023998398,4.85192846128265,0.773942833313867,33.3582906583243,0.0678144622532895,1,1
25,47.3,1800,0.3,4.77948928356065,0.750074440716074,-5.19318996786903,1.804870275094,5.49788857219691,0.944578977851832,36.6337388094086,0.0818067381613,1,1
26,47.3,1800,0.427,4.77948928356065,0.750074440716074,-5.18919952105828,1.79154144676118,5.48975522448994,0.945251529231964,36.5789182814559,0.0815986426085133,1,1
27,47.3,1800,0.5,4.77948928356065,0.750074440716074,-5.18690587054864,1.78383095700068,5.4850747846393,0.94563995464097,36.5473719700297,0.0814786547462394,1,1
28,47.3,1828.6803192735,0.3,4.74190264956931,0.748058445861773,-5.13017869549101,1.85319696574248,5.45463770029752,0.940516855081171,36.6336378112724,0.0816999648810822,1,1
29,47.3,1828.6803192735,0.427,4.74190264956931,0.748058445861773,-5.12625117833771,1.84028754008025,5.44656858706318,0.941189135213262,36.5788185231673,0.0814913942160324,1,1
30,47.3,1828.6803192735,0.5,4.74190264956931,0.748058445861773,-5.12399370043495,1.83282227475793,5.44192511276533,0.941577400323905,36.5472729331401,0.0813711316682358,1,1
31,47.3,2300,0.3,4.22888998614015,0.72401982743383,-4.3198538890483,2.23604244535012,4.8642598039304,0.888080419873499,36.6322779979937,0.0799452601517432,1,1
32,47.3,2300,0.427,4.22888998614015,0.72401982743383,-4.31673610446435,2.22640944192586,4.85706800432964,0.888753482680575,36.5774813141803,0.0797288853671799,1,1
33,47.3,2300,0.5,4.22888998614015,0.72401982743383,-4.31494407063978,2.22085152495843,4.8529294069314,0.889142146695309,36.5459488711087,0.079604110912626,1,1
34,47.3,2800,0.3,3.8335207392952,0.711011212824009,-3.75853861244214,2.3052347970632,4.40916318260161,0.852438083324563,36.6314539391466,0.0780838471550138,1,1
35,47.3,2800,0.427,3.8335207392952,0.711011212824009,-3.75598250637033,2.2969348966084,4.40264857868731,0.85311885317229,36.5766858269793,0.0778592029307818,1,1
36,47.3,2800,0.5,3.8335207392952,0.711011212824009,-3.75451333478766,2.29214924630519,4.39889969747388,0.853511921843486,36.5451699917714,0.0777296476267364,1,1
