caseID,plantCaseID,aileronTau_s,isDynamicStable,neutralHeadingPoleMagnitude,minimumDynamicDecayRate_per_s,minimumOscillatoryDampingRatio,balancedDiskMargin,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
44,15,0.05,1,0,0.564000825126535,0.491017417557122,1.57928907624696,76.5923864885705,18.5962597275205,2.333458062281
45,15,0.075,1,0,0.571232896710359,0.485600526363525,1.49024980370043,73.3814249915846,16.7099821929326,2.37684028662488
46,16,0.035,1,0,0.570731158638851,0.436374392935761,1.47224325718723,72.7151764991581,16.3635270499838,1.99526231496888
47,16,0.05,1,0,0.575101145633044,0.433218048825026,1.42720049845942,71.0233268686424,15.5387376189327,2.01372424986239
48,16,0.075,1,0,0.582711531318563,0.427458478499386,1.35441375421759,68.2122548172845,14.3132472196966,2.05116217882557
49,17,0.035,1,0,0.566996746674076,0.425478394052518,1.48579842935418,73.2172562525021,16.623377420073,2.10862814993329
50,17,0.05,1,0,0.571344055099963,0.422546905297322,1.4380125557805,71.4327443243946,15.7316169127358,2.12813904598271
51,17,0.075,1,0,0.578920425230205,0.417136009591204,1.36110386319286,68.4746417317134,14.4210334185533,2.16770410481969
52,18,0.035,1,0,0.563234605245253,0.413079973624515,1.4939272893417,73.516788509259,16.7820188734013,2.2284351492703
53,18,0.05,1,0,0.567553436377566,0.41033495087673,1.44377324736272,71.6500280685778,15.8356534959382,2.24905460583578
54,18,0.075,1,0,0.575085183788011,0.405208000747059,1.36336847501892,68.5632753584586,14.457726176327,2.26986485188382
55,19,0.035,1,0,0.449648088104252,0.608965761974407,1.56782768733052,76.1867774204827,18.3349386253811,17.5388050184176
56,19,0.05,1,0,0.447538407566301,0.605993431827213,1.54289168135772,75.2964818866064,17.7867749960078,14.8593564228701
57,19,0.075,1,0,0.444199582114614,0.60030153012102,1.51670758416193,74.3499980946944,17.238525561879,11.6949939101987
58,20,0.035,1,0,0.451120293173292,0.61104280197007,1.55763201875215,75.8240590806124,18.107546801436,17.2186857498601
59,20,0.05,1,0,0.448941649236678,0.608374140528014,1.53030493703642,74.8429979564297,17.5199244955374,14.4543977074593
60,20,0.075,1,0,0.445500373412999,0.603218984897946,1.50026148833564,73.7493832838855,16.9071534130178,11.4815362149688
61,21,0.035,1,0,0.452640021636574,0.610203261265986,1.54612709409431,75.4126045011612,17.8564007721067,17.2186857498601
62,21,0.05,1,0,0.450387820428576,0.60781263777593,1.5179162312554,74.3939509928776,17.2632596864034,14.4543977074593
63,21,0.075,1,0,0.446837765460477,0.60314806903014,1.48667633008616,73.2496613448349,16.6404068591609,11.4815362149688
64,22,0.035,1,0,0.449394807868099,0.513226306686734,1.58169635244815,76.67729118541,18.6519422610233,2.10862814993329
65,22,0.05,1,0,0.447314723503026,0.509996841649358,1.53056701119858,74.8524682741607,17.5254170624587,2.16770410481969
66,22,0.075,1,0,0.444018621729247,0.503961579286279,1.44683427736108,71.7652436397473,15.8913028462808,2.2284351492703
67,23,0.035,1,0,0.451207787165985,0.508718229519439,1.58468203834101,76.7824583419038,18.7213985175345,14.9968483550237
68,23,0.05,1,0,0.449044224371068,0.505832489549761,1.54856599302778,75.5000192480685,17.90917228896,12.5892541179417
69,23,0.075,1,0,0.445623795690969,0.500376643013195,1.46346206226191,72.3881844482621,16.1981999842186,2.37684028662488
70,24,0.035,1,0,0.453092848795142,0.501527734012474,1.57388657171191,76.4014777809802,18.4723108839886,14.9968483550237
71,24,0.05,1,0,0.450838950310833,0.498955214211865,1.53673711803336,75.0750855485183,17.6555055152018,12.5892541179417
72,24,0.075,1,0,0.447284715142151,0.494026588598643,1.47700262804201,72.8918329609777,16.454110247583,2.51188643150958
73,25,0.035,1,0,0.449119312084166,0.440451783364005,1.46797226229044,72.5563052805745,16.2828268006412,2.07014134879104
74,25,0.05,1,0,0.447069219872482,0.437449460373541,1.42073194519752,70.7773809074805,15.4247892902902,2.10862814993329
75,25,0.075,1,0,0.443816602237167,0.431896968005672,1.34377738133649,67.7934140194966,14.1437232029528,2.14783047413053
76,26,0.035,1,0,0.451261653567652,0.432181007778284,1.48005582131049,73.0049488491893,16.5125898008416,2.18776162394955
77,26,0.05,1,0,0.449114648516277,0.429491612393195,1.42993789150893,71.1271812032319,15.5872816241776,2.2284351492703
78,26,0.075,1,0,0.445717327762966,0.424446224931319,1.34862450058182,67.9845408054927,14.2207006264265,2.26986485188382
79,27,0.035,1,0,0.453504633187998,0.422196864878206,1.48761784501703,73.2843994323209,16.6586979044101,2.29086765276777
80,27,0.05,1,0,0.451251300716798,0.419775496198033,1.4350945245428,71.3224543922025,15.6792581586471,2.333458062281
81,27,0.075,1,0,0.447696215659347,0.415161483968345,1.35012266749834,68.0435282355863,14.2445864037815,2.37684028662488
82,28,0.035,1,0,0.493740820869783,0.695900786255828,1.50465424330451,73.9102725783461,16.9947346288796,0.501187233627272
83,28,0.05,1,0,0.497280735672013,0.692668964356127,1.4978219833916,73.6598871927565,16.8588001167206,0.510504999975406
84,28,0.075,1,0,0.503430378756081,0.68663133017201,1.48585099650023,73.2191969955802,16.6243964148407,0.524807460249773
