caseID,plantCaseID,actuatorTau_s,isDynamicStable,neutralHeadingPoleMagnitude,dutchNaturalFrequency_radps,dutchDampingRatio,dutchDecayRate_radps,rollModeFrequencyRatio,rollModeDampingRatio,spiralDecayRateRatio,balancedDiskMargin,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
1,1,0.035,1,0,2.18270679708988,0.61429479714726,1.34082542915027,1.01969090826052,1,0.933374886335536,1.68418623460969,80.2010007533252,21.3382103969465,1.21338885046498
2,1,0.05,1,0,2.18141092754075,0.637619566236968,1.39091028940311,1.03418082216181,1,0.933363807111616,1.69662194891341,80.6166148232119,21.7164176150637,1.19124200802737
3,1,0.075,1,0,2.16723933623676,0.683671835278219,1.48168049449214,0.983364409193149,0.992726813047349,0.933345334132708,1.66497508636968,79.5539194552733,20.7798784570866,9.72747223776965
4,2,0.035,1,0,2.22574820279242,0.58870168282948,1.31030171253859,0.989589492618867,1,0.933260434669364,1.66761740919691,79.6432829848927,20.8549151373673,1.23594743344451
5,2,0.05,1,0,2.23265678141137,0.61191573464436,1.36619781460605,0.983136642231051,1,0.933249316643459,1.68102023546026,80.0947824404717,21.2441014349488,1.21338885046498
6,2,0.075,1,0,2.24062959257241,0.658913808277815,1.47638177778186,1.07179984369521,1,0.933230778955339,1.65317834583963,79.1535340466846,20.4512933888793,9.20449571753171
7,3,0.035,1,0,2.25754407651287,0.562593184165846,1.27007891040012,0.976312289627491,1,0.933145692430005,1.64982414567444,79.0392670671078,20.3597148617709,1.27057410520854
8,3,0.05,1,0,2.27091542550263,0.584980516560074,1.32844127867477,0.962280152473076,1,0.933134535420819,1.66429451652094,79.5308837275046,20.7606387504852,1.24738351424294
9,3,0.075,1,0,2.29735944682622,0.63034377864627,1.44812623462115,1.11232763044881,1,0.933115932721077,1.6433103035056,78.816822975784,20.184111954446,8.87156012037961
10,4,0.035,1,0,2.04723167523013,0.514469175052225,1.05323759109643,1.01453637451798,1,0.934055575249497,1.67716800832753,79.9653178118707,21.1307381522437,1.20226443461741
11,4,0.05,1,0,2.05503149917757,0.529622734735948,1.08839140256294,1.01994529437766,1,0.934044715054899,1.68963208263015,80.3833201017708,21.5021247988891,1.18032063565173
12,4,0.075,1,0,2.0712331608456,0.558073283388861,1.15589989073699,1.05922017994388,1,0.934026607340996,1.709282808783,81.0371422849435,22.116384654233,1.14815362149688
13,5,0.035,1,0,2.07263675072458,0.484887484134113,1.00499561958274,0.992766204068864,1,0.93391493277198,1.65520366919016,79.2224393263524,20.5069789084403,1.23594743344451
14,5,0.05,1,0,2.08389405849772,0.499395714603912,1.04068776250232,0.990263842079561,1,0.933904025380871,1.66893986737242,79.6879650176959,20.8926741835933,1.21338885046498
15,5,0.075,1,0,2.10778448762388,0.52639817488618,1.10953390733861,0.977666123453701,1,0.933885838958446,1.69052531179,80.4131774701246,21.5292610850789,1.18032063565173
16,6,0.035,1,0,2.08939276621514,0.456468749133784,0.9537425024434,0.983799431458282,1,0.933773844167833,1.63097874474846,78.3937562294505,19.8594464963408,1.27057410520854
17,6,0.05,1,0,2.10301385070795,0.470155843530877,0.988744250936712,0.978267574905413,1,0.933762889305923,1.64616499827739,78.9143967399059,20.2607105228418,1.24738351424294
18,6,0.075,1,0,2.13194850991657,0.495278687871683,1.05590866060147,0.952417326622873,1,0.933744623718252,1.66995005585748,79.7220767847771,20.921609808309,1.21338885046498
19,7,0.035,1,0,1.92376474231958,0.446377984733893,0.858726228778731,1.01195361066983,1,0.934723321822211,1.66971952647543,79.7142938247971,20.9149994838091,1.18032063565173
20,7,0.05,1,0,1.93141012588014,0.457255312497882,0.883147540670899,1.01496578167624,1,0.934712674416641,1.68221693318855,80.1349507626907,21.2795723778116,1.16949939101987
21,7,0.075,1,0,1.94726743646924,0.476811413603046,0.928479339046078,1.02612963725049,1,0.934694921558484,1.70197138157794,80.7946156239795,21.8835017508938,1.13762728582343
22,8,0.035,1,0,1.93914327221394,0.414202776366326,0.803198527123095,0.994509837886176,1,0.934557392224089,1.64187393482628,78.7676760502626,20.1457795475457,1.22461619926505
23,8,0.05,1,0,1.9486645959074,0.424432316153753,0.827076227847793,0.993188750762043,1,0.934546689695921,1.65597123189791,79.2485353363508,20.5281601875792,1.20226443461741
24,8,0.075,1,0,1.96820369769816,0.442599068773921,0.871125123758591,0.988681502392189,1,0.934528844913043,1.67814498100827,79.9981748986764,21.1593711577772,1.18032063565173
25,9,0.035,1,0,1.94778456222513,0.384179877859921,0.748299635213088,0.987925438060857,1,0.934390831451703,1.61020588484758,77.6752874079901,19.3339338330854,1.27057410520854
26,9,0.05,1,0,1.95848549655184,0.393730414465543,0.771115306282112,0.985029613419074,1,0.934380073419026,1.62614715196782,78.2272974916851,19.7348946132237,1.24738351424294
27,9,0.075,1,0,1.98019662299316,0.410461708042286,0.81279488813334,0.975319082779379,1,0.934362136072886,1.65118533333103,79.0856611092393,20.3967828140011,1.21338885046498
28,10,0.035,1,0,1.80581218803162,0.651187541151406,1.17592239850555,1.03058639744779,1,0.918101668150227,1.62082374411349,78.043438283602,19.5993250137351,1.19124200802737
29,10,0.05,1,0,1.77472895463304,0.664231936387193,1.17883165009832,1.06757119172488,1,0.918088494126061,1.63497494355435,78.531136539522,19.9635748950773,1.16949939101987
30,10,0.075,1,0,1.71909000355037,0.682968648421008,1.17408457623886,0.878837544143712,0.993762030929511,0.918066528839329,1.59397996058079,77.1089886679725,18.9405636439271,9.81747943019984
31,11,0.035,1,0,1.85236265565131,0.639688560168703,1.18493520010386,0.983971333616484,1,0.917963103628813,1.60234446308432,77.4014769042991,19.1415640927326,1.22461619926505
32,11,0.05,1,0,1.82154148554589,0.655122222461614,1.19333230631685,0.970014972013927,1,0.917949884529631,1.61742347371612,77.9257493266687,19.5136206577473,1.20226443461741
