caseID,plantCaseID,aileronTau_s,isStable,minimumDecayRate_per_s,minimumOscillatoryDampingRatio,balancedDiskPhaseMargin_deg,balancedDiskGainMargin_dB,diskMarginCriticalFrequency_radps
1,1,0.035,1,0.124924822060543,0.580756339913296,65.5636573271441,13.2892513595176,0.277971326775929
2,1,0.05,1,0.124940164222829,0.577015607302245,65.5642459725043,13.2894670761803,0.277971326775929
3,1,0.075,1,0.124965771740751,0.570177554152151,65.5652754925441,13.2898443687649,0.277971326775929
4,2,0.035,1,0.124922722190112,0.581118082544678,65.5485543976922,13.2837183640234,0.277971326775929
5,2,0.05,1,0.124938057836419,0.57751870897885,65.5489928114854,13.2838789327889,0.277971326775929
6,2,0.075,1,0.124963654475961,0.570897329543198,65.5497711085951,13.2841639902537,0.277971326775929
7,3,0.035,1,0.124920622982928,0.578677375771694,65.5334952631248,13.2782046055648,0.277971326775929
8,3,0.05,1,0.124935952117661,0.575204387982244,65.5337841552067,13.2783103506771,0.277971326775929
9,3,0.075,1,0.12496153788613,0.568773641101715,65.534312415812,13.2785037164909,0.277971326775929
10,4,0.035,1,0.124847006072485,0.491977281168167,65.4352088578695,13.2422959982011,0.277971326775929
11,4,0.05,1,0.124862401366758,0.488325113564001,65.4358327486343,13.2425235092113,0.280543363795171
12,4,0.075,1,0.124888097668555,0.481760924521924,65.4364254946938,13.2427396678643,0.280543363795171
13,5,0.035,1,0.124844417228765,0.483968246923888,65.4163960492045,13.2354381732145,0.277971326775929
14,5,0.05,1,0.124859804383219,0.480447823779677,65.4169286835973,13.2356322664833,0.277971326775929
15,5,0.075,1,0.124885487095463,0.474072919010786,65.4174637391491,13.2358272459993,0.280543363795171
16,6,0.035,1,0.124841829392497,0.473371925652815,65.3976519433243,13.2286102856875,0.277971326775929
17,6,0.05,1,0.124857208413954,0.469957768976359,65.3979961011628,13.2287356075799,0.277971326775929
18,6,0.075,1,0.124882877547971,0.463727629497622,65.3985749259957,13.2289463849947,0.280543363795171
19,7,0.035,1,0.12476954340951,0.421732062103578,65.3040743310425,13.1945956999987,0.280543363795171
20,7,0.05,1,0.124784991325453,0.418382178917428,65.3045282571919,13.194760406073,0.280543363795171
21,7,0.075,1,0.124810775559049,0.412414664750563,65.3053381092834,13.1950542661162,0.280543363795171
22,8,0.035,1,0.12476647949919,0.408536290615618,65.2820310382264,13.1866007537516,0.280543363795171
23,8,0.05,1,0.124781917653949,0.405264337381642,65.2822506098595,13.1866803578741,0.280543363795171
24,8,0.075,1,0.124807685590918,0.399386071345984,65.2826684823371,13.1868318563779,0.280543363795171
25,9,0.035,1,0.124763416998944,0.393974731717774,65.2600886129126,13.1786490248095,0.280543363795171
26,9,0.05,1,0.124778845402238,0.390744526152404,65.2600755545582,13.1786442945525,0.280543363795171
27,9,0.075,1,0.124804597058805,0.384893412361028,65.2601043304845,13.1786547183443,0.280543363795171
28,10,0.035,1,0.126632055240047,0.578913548155604,66.6606825269183,13.7000074116601,0.270395836410884
29,10,0.05,1,0.126645724002768,0.575015105965411,66.6626816653018,13.7007724167008,0.270395836410884
30,10,0.075,1,0.126668534828252,0.567790868875739,66.6660425900321,13.7020586723982,0.270395836410884
31,11,0.035,1,0.126629263093518,0.580996491327144,66.6420126886993,13.6928660585828,0.270395836410884
32,11,0.05,1,0.126642926044718,0.577300270293539,66.643903254852,13.6935889690639,0.270395836410884
33,11,0.075,1,0.126665727169915,0.570401497609561,66.6470828287414,13.6948048920372,0.270395836410884
34,12,0.035,1,0.126626472079967,0.580227260673412,66.6233750463434,13.6857423929551,0.270395836410884
35,12,0.05,1,0.126640129223874,0.576713707681963,66.6251574210822,13.6864234190112,0.270395836410884
36,12,0.075,1,0.126662920655863,0.570106014549213,66.6281562796572,13.6875693609682,0.270395836410884
37,13,0.035,1,0.126561464710089,0.489059562840025,66.5526453699495,13.6587568317859,0.272897778280804
38,13,0.05,1,0.126575185657605,0.48520217024969,66.5545293734111,13.6594746410311,0.272897778280804
39,13,0.075,1,0.126598083660109,0.478172717212458,66.5577001873357,13.6606828506336,0.272897778280804
40,14,0.035,1,0.126558009837748,0.483740092846897,66.5294064162284,13.6499072146256,0.272897778280804
41,14,0.05,1,0.126571723518493,0.480087887505974,66.5311503947134,13.6505710514283,0.272897778280804
42,14,0.075,1,0.126594609391527,0.473371842760928,66.5340872960567,13.6516890736154,0.272897778280804
43,15,0.035,1,0.126554556702868,0.475736572485575,66.5062193501352,13.6410855918646,0.272897778280804
44,15,0.05,1,0.126568263123443,0.47226023870277,66.5078239391242,13.6416958003265,0.272897778280804
45,15,0.075,1,0.126591136878035,0.465806732622893,66.510527988566,13.6427242110967,0.272897778280804
46,16,0.035,1,0.126491174625583,0.419644952118001,66.4428975048301,13.6170362847111,0.272897778280804
47,16,0.05,1,0.126504947302476,0.41609999914643,66.4449034211727,13.6177971857224,0.272897778280804
48,16,0.075,1,0.126527931721801,0.409691592394118,66.4482785384979,13.6190776014488,0.272897778280804
49,17,0.035,1,0.126487070715602,0.409839931092686,66.4150237913248,13.6064693122542,0.272897778280804
50,17,0.05,1,0.12650083466995,0.406452510924637,66.4168602556722,13.6071651565735,0.272897778280804
51,17,0.075,1,0.126523804529824,0.40026376749945,66.4199522962805,13.6083368596298,0.272897778280804
52,18,0.035,1,0.126482969261217,0.398390639192303,66.3872251334247,13.5959425145132,0.272897778280804
53,18,0.05,1,0.126496724502522,0.395117769456652,66.3888930694566,13.5965737990778,0.272897778280804
54,18,0.075,1,0.126519679818691,0.389075186250066,66.3917035750805,13.5976376213259,0.272897778280804
55,19,0.035,1,0.127866683138096,0.581743601813311,67.3543013613803,13.9692231607002,0.265460556197554
56,19,0.05,1,0.127878997471983,0.577982572072773,67.3566278789298,13.9701392184033,0.265460556197554
57,19,0.075,1,0.127899545355702,0.570930640622682,67.3605243273167,13.97167363033,0.265460556197554
58,20,0.035,1,0.127863395984492,0.585095619251256,67.3341750425416,13.9613022165656,0.265460556197554
59,20,0.05,1,0.12787570508973,0.581589136562558,67.3364178455587,13.9621845675257,0.265460556197554
60,20,0.075,1,0.12789624424751,0.574962668257607,67.3401745456674,13.9636626926994,0.265460556197554
61,21,0.035,1,0.127860110320954,0.585566581673881,67.3140726981488,13.953397355847,0.265460556197554
62,21,0.05,1,0.127872414201583,0.582289689040499,67.3162320247479,13.9542461514039,0.265460556197554
63,21,0.075,1,0.127892944640174,0.576043740061,67.3198493736635,13.9556682429176,0.265460556197554
64,22,0.035,1,0.127801636075855,0.491029759399162,67.2589371884757,13.9317503794066,0.267916832481903
65,22,0.05,1,0.127814000796549,0.487264987394283,67.2612091888528,13.932641416366,0.267916832481903
66,22,0.075,1,0.127834632834924,0.480325148488436,67.265015962672,13.93413455236,0.267916832481903
67,23,0.035,1,0.127797561484382,0.487835385293503,67.2337167279265,13.9218650337322,0.267916832481903
68,23,0.05,1,0.127809919662369,0.48434335564562,67.2358807135728,13.9227128171013,0.267916832481903
69,23,0.075,1,0.127830540781641,0.477837869398407,67.2395071597197,13.9241337188498,0.267916832481903
70,24,0.035,1,0.127793489186299,0.481896326118376,67.208535109048,13.9120052514753,0.267916832481903
71,24,0.05,1,0.127805840827829,0.478643260095936,67.2105914771348,13.912810028999,0.267916832481903
72,24,0.075,1,0.127826451038524,0.472513192987733,67.2140382580112,13.9141591108533,0.267916832481903
73,25,0.035,1,0.127736851545101,0.42237421453364,67.1616815904827,13.8936873198572,0.267916832481903
74,25,0.05,1,0.127749266244751,0.4189253571216,67.1640603855946,13.8946164801477,0.267916832481903
75,25,0.075,1,0.127769981757143,0.412614665871495,67.1680458300089,13.8961734049621,0.267916832481903
76,26,0.035,1,0.127732002863309,0.415334677332242,67.1314006277366,13.881867535929,0.267916832481903
77,26,0.05,1,0.127744409703861,0.412120105105252,67.1336488230726,13.8827445808618,0.267916832481903
78,26,0.075,1,0.127765112100099,0.406161646224953,67.1374162316331,13.8842144700105,0.267916832481903
79,27,0.035,1,0.1277271574347,0.406442634719694,67.1011758508991,13.8700844438836,0.267916832481903
80,27,0.05,1,0.127739556425101,0.403413021455818,67.103294023054,13.8709097310155,0.267916832481903
81,27,0.075,1,0.127760245720231,0.397722067533683,67.1068443574113,13.8722931825256,0.267916832481903
82,28,0.035,1,0.124694460291095,0.671547361797678,65.145141068387,13.1371007810725,0.280543363795171
83,28,0.05,1,0.124709963202616,0.667737417690684,65.1452428856014,13.1371375036004,0.280543363795171
84,28,0.075,1,0.124735839421027,0.660739360992362,65.1448762490173,13.1370052690359,0.283139199579938
85,29,0.035,1,0.124696647194029,0.6684616191661,65.1353614504619,13.133574211837,0.280543363795171
86,29,0.05,1,0.124712141007137,0.664844385892436,65.1353339458753,13.1335642954051,0.280543363795171
87,29,0.075,1,0.124738002028262,0.658162300866587,65.1350373377176,13.1334573577268,0.283139199579938
88,30,0.035,1,0.124698832909798,0.659663229035312,65.1256055419877,13.1300574862297,0.280543363795171
89,30,0.05,1,0.124714317626152,0.656235437322124,65.1254493162409,13.1300011818294,0.280543363795171
90,30,0.075,1,0.124740163452767,0.649863387526432,65.1252237779833,13.1299198974998,0.283139199579938
91,31,0.035,1,0.124633091263919,0.553522762691527,65.0314191773313,13.0961722542021,0.283139199579938
92,31,0.05,1,0.124648635025834,0.550135582939462,65.0312279298643,13.0961035712999,0.283139199579938
93,31,0.075,1,0.124674579501932,0.544030192665851,65.0309655985471,13.0960093607815,0.283139199579938
94,32,0.035,1,0.124635831788024,0.539803887176941,65.0196268183831,13.09193817251,0.283139199579938
95,32,0.05,1,0.124651364210966,0.536577736065781,65.0192696945189,13.0918099753038,0.283139199579938
96,32,0.075,1,0.124677289747197,0.530712070519363,65.0187297686254,13.0916161606782,0.283139199579938
97,33,0.035,1,0.124638570465777,0.523574269163762,65.0078714973046,13.0877192506442,0.283139199579938
98,33,0.05,1,0.124654091552309,0.5204503492293,65.0073494928697,13.0875319491083,0.283139199579938
99,33,0.075,1,0.12467999815296,0.514721010150097,65.0065336393928,13.0872392182963,0.283139199579938
100,34,0.035,1,0.124571939623692,0.469676061900348,64.9163540747688,13.0549374853785,0.283139199579938
101,34,0.05,1,0.124587523935121,0.466648710348158,64.9162442390307,13.0548982092101,0.285759054337495
102,34,0.075,1,0.124613536166587,0.461245728454267,64.9154554650998,13.0546161562165,0.285759054337495
103,35,0.035,1,0.124575236415809,0.451809517529547,64.9022850494185,13.0499078504998,0.283139199579938
104,35,0.05,1,0.124590807161179,0.44883373580976,64.9020350581314,13.0498185032008,0.283139199579938
105,35,0.075,1,0.124616796732655,0.443469449598058,64.9013194320173,13.0495627418467,0.285759054337495
106,36,0.035,1,0.124578530561566,0.433501893999684,64.8882694475545,13.0448999354589,0.283139199579938
107,36,0.05,1,0.124594087744496,0.430527655567544,64.8878200806413,13.0447394154057,0.283139199579938
108,36,0.075,1,0.124620054662078,0.425117261189323,64.88712692474,13.0444918158339,0.283139199579938
109,37,0.035,1,0.126423758858247,0.662598816301841,66.3077321038116,13.5659044290723,0.275422870333817
110,37,0.05,1,0.126437589614426,0.658412736414839,66.3092757399957,13.5664868190124,0.275422870333817
111,37,0.075,1,0.126460671129685,0.650634677643654,66.3118815263506,13.5674700228419,0.275422870333817
112,38,0.035,1,0.126424882880283,0.661226541615323,66.2940751577773,13.5607534325992,0.275422870333817
113,38,0.05,1,0.126438705111431,0.657299030255731,66.29552173046,13.5612989046428,0.275422870333817
114,38,0.075,1,0.126461772390302,0.649955584577609,66.2979653137304,13.5622203995952,0.275422870333817
115,39,0.035,1,0.126426006005358,0.654280983159059,66.2804383471049,13.5556128198394,0.275422870333817
116,39,0.05,1,0.12643981971393,0.650605235674257,66.2817882073302,13.5561215469305,0.275422870333817
