delayPlantCaseID,sensorDelay_s,delayDiskMargin,delayPhaseMargin_deg,delayGainMargin_dB,delayCriticalFrequency_radps
1,0,1.69662194891341,80.6166148232119,21.7164176150637,1.19124200802737
1,0.01,1.66569552190721,79.5782961472277,20.8002838973299,11.2719745617551
1,0.02,1.6190134904383,77.9808067839938,19.553612081927,10.6659612123026
1,0.04,1.53093770031099,74.8658614589133,17.5331905300124,9.6382902362397
1,0.06,1.44889632167053,71.8427635576005,15.9289365875979,8.79022516830884
1,0.08,1.37183832216883,68.8939456150272,14.5959060867127,8.09095899178382
2,0,1.68102023546026,80.0947824404717,21.2441014349488,1.21338885046498
2,0.01,1.65834153990908,79.3290602598063,20.5938413861204,10.6659612123026
2,0.02,1.61141168664692,77.7171921514737,19.363745277689,10.1859138805412
2,0.04,1.52251977546008,74.5611264416562,17.3579610099242,9.20449571753171
2,0.06,1.43932707855057,71.4823782294626,15.7552779462878,8.39459986519397
2,0.08,1.36089198663616,68.4663444122772,14.4176058456943,7.72680585095702
3,0,1.66429451652094,79.5308837275046,20.7606387504852,1.24738351424294
3,0.01,1.65170961068214,79.1035220486653,20.4110948748892,10.2801629812647
3,0.02,1.60443291753504,77.4743195551566,19.1923360616858,9.81747943019984
3,0.04,1.51464470907965,74.274921777209,17.1964332203472,8.87156012037961
3,0.06,1.43036275897079,71.1432882561992,15.5948334911273,8.09095899178382
3,0.08,1.35069461535599,68.0660367723645,14.2537168655121,7.51622894018205
4,0,1.68963208263015,80.3833201017708,21.5021247988891,1.18032063565173
4,0.01,1.6975145654556,80.6463490433309,21.7441085275868,1.16949939101987
4,0.02,1.68093230506027,80.091830037248,21.2414999139025,10.2801629812647
4,0.04,1.6065101580502,77.5466974586866,19.2430726869931,9.20449571753171
4,0.06,1.536629400646,75.0712047951617,17.6532215685682,8.39459986519397
4,0.08,1.47051317793017,72.6508605327834,16.3307708400139,7.72680585095702
5,0,1.66893986737242,79.6879650176959,20.8926741835933,1.21338885046498
5,0.01,1.67760428790603,79.979992515089,21.1435148022348,1.20226443461741
5,0.02,1.67628451913551,79.9355911061798,21.1049129299814,9.72747223776965
5,0.04,1.60133527504331,77.3662510888206,19.1171149051949,8.79022516830884
5,0.06,1.53059142185122,74.8533503170654,17.5259287978044,8.01678063387679
5,0.08,1.46334096402887,72.3836654428308,16.1959360707656,7.37904230129101
6,0,1.64616499827739,78.9143967399059,20.2607105228418,1.24738351424294
6,0.01,1.65570887865434,79.2396168163205,20.520915607034,1.23594743344451
6,0.02,1.66496211429711,79.5534804524429,20.77951140483,1.22461619926505
6,0.04,1.59587214428012,77.1752586170252,18.9857090986907,8.39459986519397
6,0.06,1.52422930106163,74.6231126576477,17.3933293166227,7.72680585095702
6,0.08,1.45589769149959,72.105404928174,16.0576061721825,7.11213513653329
7,0,1.68221693318855,80.1349507626907,21.2795723778116,1.16949939101987
7,0.01,1.69012890343934,80.3999286184044,21.5172093633926,1.15877735615513
7,0.02,1.6978148304848,80.6563483199169,21.7534402690552,1.14815362149688
7,0.04,1.66115570240534,79.424542268289,20.6723603547892,8.95364765549594
7,0.06,1.60041036840897,77.3339518890595,19.0947558584731,8.16582371358592
7,0.08,1.54267248856077,75.2886082348053,17.7820735342778,7.44731973905989
8,0,1.65597123189791,79.2485353363508,20.5281601875792,1.20226443461741
8,0.01,1.66484026781275,79.5493567687197,20.7760643185707,1.19124200802737
8,0.02,1.67344970217797,79.840120854643,21.0224802712904,1.18032063565173
8,0.04,1.65838240482117,79.3304477145959,20.5949773695274,8.47227414140596
8,0.06,1.59705996600272,77.2168284748782,19.0141451837939,7.72680585095702
8,0.08,1.53846895929332,75.1374511791674,17.6922894988429,7.11213513653329
9,0,1.62614715196782,78.2272974916851,19.7348946132237,1.24738351424294
9,0.01,1.63617244903638,78.5722517271763,19.9949777762148,1.23594743344451
9,0.02,1.64589841176957,78.90529056922,20.2535337751569,1.22461619926505
9,0.04,1.65475542750651,79.2071952133238,20.494629197164,8.16582371358592
9,0.06,1.59276745704759,77.0664910150571,18.9117326403941,7.44731973905989
9,0.08,1.53332672912301,74.9521208060092,17.5834174359874,6.85488226452662
10,0,1.63497494355435,78.531136539522,19.9635748950773,1.16949939101987
10,0.01,1.59383601106322,77.1039446217881,18.9371368095638,11.4815362149688
10,0.02,1.538662028585,75.1444005972796,17.6963976858154,10.8642562361707
10,0.04,1.43557521530355,71.3406330758374,15.6878677006381,9.81747943019984
10,0.06,1.34073873509932,67.6733782300164,14.095699065275,8.95364765549594
10,0.08,1.25271814582249,64.1226895905382,12.7752399163441,8.24138115013002
11,0,1.61742347371612,77.9257493266687,19.5136206577473,1.20226443461741
11,0.01,1.58547198787092,76.8102577975837,18.7398490020784,10.8642562361707
11,0.02,1.53014817960811,74.8373327940025,17.5166404331909,10.2801629812647
11,0.04,1.4264101143695,70.9933153557413,15.5247571752271,9.3756200692588
11,0.06,1.33058524246905,67.2710592906899,13.9365054213304,8.55066712884683
11,0.08,1.24134680249928,63.6535485813759,12.6136441509231,7.94328234724282
12,0,1.59882614715074,77.2785945126476,19.0565649548163,1.22461619926505
12,0.01,1.57795585480119,76.5453209385462,18.5655419597868,10.471285480509
12,0.02,1.52235394110765,74.5551106846156,17.3545358978725,10
12,0.04,1.41783973326857,70.6671705410947,15.3741826672091,9.03649473722302
12,0.06,1.32105866909736,66.8918642924566,13.7888860087723,8.31763771102671
12,0.08,1.23072847890255,63.2133109157879,12.4644161024023,7.72680585095702
13,0,1.62695816680493,78.2552662007349,19.7557001964047,1.15877735615513
13,0.01,1.63591644535112,78.5634641169028,19.9882566353348,1.14815362149688
13,0.02,1.61132974952177,77.7143454052535,19.3617169065176,10.3752841581801
13,0.04,1.52322309841356,74.5866346301038,17.3724987516273,9.3756200692588
13,0.06,1.44138685337274,71.5600892615737,15.7924468590795,8.55066712884683
13,0.08,1.36475022535259,68.617309198512,14.4801662245346,7.87045789695099
14,0,1.60383691552745,77.4535393287669,19.1778225048592,1.19124200802737
14,0.01,1.61357235617021,77.7922193034067,19.4173713656814,1.18032063565173
14,0.02,1.60608567867855,77.5319131649689,19.2326854123712,9.81747943019984
14,0.04,1.51754603297502,74.3804913131085,17.2556781566404,8.87156012037961
14,0.06,1.43491596827215,71.315700726318,15.6760616374537,8.16582371358592
14,0.08,1.3572052832499,68.3218381160245,14.3581119866884,7.51622894018205
15,0,1.57877161180629,76.57412251777,18.5843270285281,1.22461619926505
15,0.01,1.58936564110844,76.9471249106236,18.8312483219307,1.21338885046498
15,0.02,1.5996727635921,77.3081831169714,19.0769576709184,1.20226443461741
15,0.04,1.51149274927777,74.160065246726,17.1324152366464,8.55066712884683
15,0.06,1.42802029368757,71.0544432986043,15.5532552768767,7.87045789695099
15,0.08,1.34931716483783,68.0118182159675,14.2317384970306,7.2443596007499
16,0,1.618457062371,77.9615442362699,19.5396000874194,1.14815362149688
16,0.01,1.62743947360147,78.2718593279031,19.7680667222034,1.13762728582343
16,0.02,1.63619329126281,78.572967111169,19.995525157,1.12719745617551
16,0.04,1.58741853548703,76.8787139842579,18.7854466921352,9.03649473722302
16,0.06,1.51557277146596,74.3087069239707,17.2153509260963,8.24138115013002
16,0.08,1.44788879065631,71.8048962041057,15.9105336984859,7.58577575029184
17,0,1.58928583471825,76.9443222137469,18.8293672664368,1.19124200802737
17,0.01,1.59923536448469,77.2928978745791,19.0664171211179,1.18032063565173
17,0.02,1.60892634660407,77.6307931310988,19.3023892045327,1.16949939101987
17,0.04,1.58438292338284,76.7719292675899,18.7144203265694,8.6297854776697
17,0.06,1.5120056619698,74.1787675088591,17.1428084855433,7.87045789695099
17,0.08,1.44350557392911,71.6399450184777,15.8307994313863,7.2443596007499
18,0,1.55685126743525,75.7962092784021,18.0903238733133,1.22461619926505
18,0.01,1.56787739433501,76.1885413909439,18.336058715665,1.21338885046498
18,0.02,1.57861610087411,76.5686328420833,18.5807434833223,1.20226443461741
18,0.04,1.58033052565748,76.629130640401,18.6203148074936,8.31763771102671
18,0.06,1.50730458484211,74.0071800580662,17.0478992408907,7.58577575029184
18,0.08,1.43797665383831,71.4313883007237,15.7309713379407,6.98232404077171
19,0,1.57891020750476,76.5790147206134,18.587521768247,1.15877735615513
19,0.01,1.52647600024626,74.704498764606,17.4399787438028,11.5877735615513
19,0.02,1.46384336394512,72.4024117253006,16.205331184075,10.9647819614319
19,0.04,1.34785577359585,67.9542577573188,14.2084617300508,10
19,0.06,1.24236152074931,63.6955095750419,12.6279882604851,9.1201083935591
19,0.08,1.14546841949673,59.6024859493936,11.3191442373079,8.47227414140596
20,0,1.56004729780888,75.9101466133275,18.1609955689093,1.18032063565173
20,0.01,1.51742022667784,74.3759166978433,17.2531028309796,11.0662378397767
20,0.02,1.45476392251012,72.0629333306171,16.0366758186374,10.471285480509
20,0.04,1.33835077966499,67.5789282512282,14.0580832695339,9.54992586021436
20,0.06,1.23207158420673,63.2691118137401,12.4832046567695,8.79022516830884
20,0.08,1.13414787538154,59.112884537493,11.1735151309558,8.16582371358592
21,0,1.54025423742715,75.2016865197296,17.7303343238647,1.20226443461741
21,0.01,1.50927963837572,74.0793159781312,17.0876779569129,10.6659612123026
21,0.02,1.44643360916839,71.750172220551,15.8840040455839,10.1859138805412
21,0.04,1.32944469670457,67.225748740765,13.9187440776766,9.28966386779936
21,0.06,1.22237722078514,62.8655970008006,12.3481480951852,8.55066712884683
21,0.08,1.12352102061923,58.6511150696083,11.038058562825,7.94328234724282
22,0,1.57009106213011,76.2670554663163,18.3860563904749,1.14815362149688
