caseID,sideForceScale,rollMomentScale,yawMomentScale,aileronEffectivenessScale,inertiaScale,IxzNormalized,riseTime_s,overshoot_pct,settlingTime_s,finalHeadingError_deg,peakBank_deg,peakRollRate_degps,peakYawRate_degps,peakSideslip_deg,peakAutomaticAileron_deg,peakAutomaticRudder_deg,peakAileronRate_degps
1,0.8,0.8,0.8,0.8,0.8,-0.1,16.36,0,32.54,0.000130652979782872,15.4420804271245,5.61128867751321,2.6232417016842,0.458287513319929,1.17678935608004,0.173209391469001,2.14072259772805
2,0.8,0.8,0.8,0.8,0.8,0,16.34,0,32.54,0.000130641019993992,15.4257055308763,5.58655752939773,2.62122074148064,0.462973030721497,1.15746034096978,0.178047110937635,2.13789304253638
3,0.8,0.8,0.8,0.8,0.8,0.1,16.34,0,32.54,0.000130629057934196,15.4095743680258,5.56175231362825,2.61945440983564,0.467893411292797,1.13864554060206,0.182853528402064,2.13260179919462
4,0.8,0.8,0.8,0.8,1,-0.1,16.34,0,32.54,0.000131460317063607,15.4843657524374,5.69781319168157,2.63849216145636,0.457463791715097,1.20837146864019,0.177525733183598,2.1751675627456
5,0.8,0.8,0.8,0.8,1,0,16.32,0,32.54,0.00013144505265933,15.46546812632,5.68060231858023,2.63280349997105,0.464146848762121,1.18372710997985,0.185295048678407,2.17178618393987
6,0.8,0.8,0.8,0.8,1,0.1,16.28,0,32.54,0.000131429792338885,15.4467946315862,5.66306724729601,2.62745014031609,0.480534842722562,1.15957170176109,0.19326965598053,2.16545832181896
7,0.8,0.8,0.8,0.8,1.2,-0.1,16.32,0,32.56,0.000132269127539105,15.5241467784098,5.77339299624963,2.66063060783261,0.454339215794805,1.24120464088543,0.180957119292198,2.2019399634625
8,0.8,0.8,0.8,0.8,1.2,0,16.28,0,32.56,0.000132250438567991,15.5044758144087,5.76807025858748,2.64958647976881,0.463409601491375,1.21243126330974,0.192345902728152,2.19912425253047
9,0.8,0.8,0.8,0.8,1.2,0.1,16.26,0,32.56,0.000132231754673042,15.4855644016442,5.76152785465389,2.63614820818439,0.497164249689478,1.18408350536781,0.204362611243201,2.19357605534101
10,0.8,0.8,0.8,1,0.8,-0.1,16.54,0,32.34,0.000113904033517103,15.1561604428218,5.88327584813488,2.58004349746094,0.449493360560224,0.990110982044664,0.177293047131651,2.09803683619327
11,0.8,0.8,0.8,1,0.8,0,16.5,0,32.34,0.000113901075454943,15.1461782231763,5.85854215492143,2.5788532353201,0.463027659546648,0.971994765580523,0.1812968485014,2.09452563693051
12,0.8,0.8,0.8,1,0.8,0.1,16.5,0,32.34,0.00011389811662309,15.1360302448712,5.83379648202488,2.57799654455355,0.496159262744938,0.954409760538809,0.191211438612858,2.08796876076487
13,0.8,0.8,0.8,1,1,-0.1,16.5,0,32.36,0.000114530772637332,15.1912375450332,5.975830676926,2.59514319957833,0.448055900404635,1.02038252974757,0.180062509149586,2.13156164712948
14,0.8,0.8,0.8,1,1,0,16.48,0,32.36,0.000114526856871991,15.1806961438363,5.96072794006418,2.58990798446442,0.470450825989568,0.997805464763138,0.188966750255617,2.12874914915966
15,0.8,0.8,0.8,1,1,0.1,16.46,0,32.36,0.000114522940953984,15.1696857325864,5.94420831053556,2.58510467300838,0.517366090338316,0.975668978751237,0.198080000376702,2.12315775496429
16,0.8,0.8,0.8,1,1.2,-0.1,16.48,0,32.36,0.000115158416587202,15.2237979001801,6.05683733496549,2.62021152887881,0.445508722168046,1.05155951616807,0.184072813278817,2.15755083701564
17,0.8,0.8,0.8,1,1.2,0,16.46,0,32.36,0.00011515345888487,15.2150087182136,6.05496922582374,2.61019372353276,0.474659319688228,1.02574218164834,0.197102640389842,2.15405738257062
18,0.8,0.8,0.8,1,1.2,0.1,16.44,0,32.36,0.000115148500145677,15.2055732456897,6.05016528392656,2.59791785273122,0.535772879448949,1.00038613063501,0.210747312063633,2.14902467073711
